BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.3427,0.6335,0.3632,0.3979,0.2184,0.3697,0.5141,51.07,0.8146,0.7619,0.0014,0.1566,0.4859
0.0376,0.3533,0.0573,0.1766,0.2846,0.1014,0.5,57.61,0.7304,0.6396,0.0058,0.6774,0.5
0.2798,0.5496,0.3476,0.3343,0.5471,0.302,0.494,57.81,0.6418,0.7157,0.0044,0.4683,0.506
0.0813,0.403,0.0827,0.2164,0.3156,0.1336,0.4044,62.58,0.5748,0.6491,0.0188,0.6881,0.5956
0.2313,0.528,0.3312,0.354,0.2712,0.2465,0.5418,62.48,0.8046,0.7036,0.0004,0.2351,0.4582
0.1198,0.4555,0.1505,0.2349,0.1881,0.1602,0.5318,67.28,0.8583,0.6629,0.0004,0.2409,0.4682
0.1578,0.4551,0.2169,0.2994,0.2226,0.1832,0.5079,54.42,0.7525,0.6765,0.0022,0.2913,0.4921
0.0458,0.4239,0.0874,0.2011,0.1635,0.1262,0.549,53.31,0.717,0.5848,0.0006,0.2824,0.451
0.0949,0.2956,0.0785,0.1561,0.244,0.155,0.3966,58.72,0.7433,0.5652,0.0007,0.6296,0.6034
0.0397,0.331,0.0709,0.2042,0.3041,0.0705,0.4059,58.82,0.5679,0.6151,0.0015,0.7817,0.5941
0.2858,0.6339,0.3516,0.4208,0.5669,0.3189,0.468,51.68,0.7914,0.7529,0.0013,0.406,0.532
0.1635,0.4985,0.2388,0.3027,0.2012,0.2014,0.5737,53.81,0.7116,0.6421,0.0004,0.1833,0.4263
0.253,0.5714,0.2818,0.3127,0.5021,0.2812,0.5,49.55,0.8034,0.6992,0.0013,0.4724,0.5
0.209,0.5279,0.2596,0.3343,0.5424,0.2415,0.4821,62.27,0.7366,0.735,0.0046,0.5385,0.5179
0.1762,0.4437,0.2533,0.3113,0.454,0.1993,0.5,62.85,0.7559,0.6495,0.0014,0.5575,0.5
0.2434,0.4595,0.3127,0.343,0.5445,0.2525,0.4741,60.04,0.789,0.7249,0.0023,0.553,0.5259
0.2276,0.461,0.2941,0.3312,0.2346,0.2392,0.5779,41.9,0.6619,0.6238,0.0039,0.1803,0.4221
0.1454,0.3915,0.1744,0.2349,0.1548,0.1715,0.5785,52.19,0.8226,0.5572,0.0017,0.2355,0.4215
